Item,Qty,Reference(s),Value,Part #,Distributor,Distributor Part #,Unit Price,Price,Carted
1,1,C1,10uF,FG26X7R1E106KRT06,DIGIKEY,445-173437-1-ND,0.67,0.67,T
2,3,"C2, C3, C4",0.1uF,K104K10X7RF5UH5,DIGIKEY,BC2665CT-ND,0.23,0.69,T
3,1,C5,10pF,K100J15C0GF5TH5,DIGIKEY,BC1030CT-ND,0.27,0.27,T
4,1,D1,WP7113ID,WP7113ID,DIGIKEY,754-1264-ND,0.1,0.1,T
5,1,D2,SA10A,SA10A,DIGIKEY,SA10ALFCT-ND,0.44,0.44,T
6,1,D3,SA9.0CA,SA9.0CA,DIGIKEY,18-SA9.0CACT-ND,0.49,0.49,T
7,1,D4,1N5817,1N5817,DIGIKEY,497-4547-1-ND,0.44,0.44,T
8,1,F1,100mA,0466.125NR,DIGIKEY, F1450CT-ND,0.91,0.91,T
9,1,J1,9V Battery Input,TB004-508-02BE,DIGIKEY,102-6179-ND,0.71,0.71,T
10,1,J2,To Scope,031-5539,DIGIKEY,ARF2045-ND,7.35,7.35,T
11,1,J3,Differential Input,031-5539,DIGIKEY,ARF2045-ND,7.35,7.35,T
12,1,R1,1.4k,MFR-25FBF52-1K4,DIGIKEY,1.40KXBK-ND,0.1,0.1,T
13,1,R2,680,CF14JT680RCT-ND,DIGIKEY,CF14JT680RCT-ND,0.1,0.1,T
14,6,"R4, R5, R6, R7, R10, R11",10k,YR1B10KCC,DIGIKEY,A105970CT-ND,0.63,3.78,T
15,1,R8,100,MFR-25FBF52-100R,DIGIKEY,100XBK-ND,0.1,0.1,T
16,2,"R9, R16",100k,YR1B100KCC,DIGIKEY,A105968CT-ND,0.63,1.26,T
17,2,"R12, R13",900k,CMF55900K00BEBF,DIGIKEY,CMF55900K00BEBF-ND,2.44,4.88,T
18,1,SW1,EG2209A,EG2209A,DIGIKEY,EG1908-ND,1.18,1.18,T
19,6,"TP1, TP2, TP3, TP4, TP5, TP6",TestPoint,4952,DIGIKEY,36-4952-ND,0.26,1.56,T
20,1,U2,LMC6484AIN,LMC6484AIN/NOPB,DIGIKEY,LMC6484AIN/NOPB-ND,3.18,3.18,T
total:,,,,,,,,35.61,
